Pavarde             Vardas              Galutinis (Vid.)    
Pavarde2089         Vardas2089          8.30                
Pavarde2090         Vardas2090          7.63                
Pavarde2094         Vardas2094          7.96                
Pavarde2096         Vardas2096          8.09                
Pavarde2097         Vardas2097          5.32                
Pavarde2098         Vardas2098          7.67                
Pavarde2100         Vardas2100          6.41                
Pavarde2103         Vardas2103          7.56                
Pavarde2104         Vardas2104          5.83                
Pavarde2106         Vardas2106          6.96                
Pavarde2107         Vardas2107          7.81                
Pavarde2108         Vardas2108          5.80                
Pavarde211          Vardas211           6.47                
Pavarde2112         Vardas2112          8.06                
Pavarde2113         Vardas2113          7.48                
Pavarde2114         Vardas2114          5.23                
Pavarde2115         Vardas2115          6.50                
Pavarde2116         Vardas2116          5.54                
Pavarde2118         Vardas2118          6.47                
Pavarde2119         Vardas2119          7.46                
